label,text,cleaned_text,topic,topic_name
positive,"The Brazilian unit of Finnish security solutions provider F-Secure signed up 1,500 new clients last year , online news source Reseller Web quoted the division 's commercial director , Vladimir Brand+_o , as saying .",brazilian unit finnish security solution provider fsecure signed NUM new client last year online news source reseller web quoted division commercial director vladimir brand_o saying,30,secure
positive,"The company 's net profit rose 11.4 % on the year to 82.2 million euros in 2005 on sales of 686.5 million euros , 13.8 % up on the year , the company said earlier .",company net profit rose NUM_PERCENT year NUM million euro NUM sale NUM million euro NUM_PERCENT year company said earlier,13,million
positive,"The Lithuanian beer market made up 14.41 million liters in January , a rise of 0.8 percent from the year-earlier figure , the Lithuanian Brewers ' Association reporting citing the results from its members .",lithuanian beer market made NUM million liter january rise NUM percent yearearlier figure lithuanian brewer association reporting citing result member,64,beer
positive,"Viking Line 's cargo revenue increased by 5.4 % to EUR 21.46 mn , and cargo volume increased by 2.4 % to 70,116 cargo units .",viking line cargo revenue increased NUM_PERCENT CUR NUM mn cargo volume increased NUM_PERCENT NUM cargo unit,42,viking
positive,"The fair value of the property portfolio doubled as a result of the Kapiteeli acquisition and totalled EUR 2,686.2 1,259.7 million .",fair value property portfolio doubled result kapiteeli acquisition totalled CUR NUM NUM million,95,fair
positive,10 February 2011 - Finnish media company Sanoma Oyj HEL : SAA1V said yesterday its 2010 net profit almost tripled to EUR297 .3 m from EUR107 .1 m for 2009 and announced a proposal for a raised payout .,NUM february NUM finnish medium company sanoma oyj hel saa 1v said yesterday NUM net profit almost tripled CUR NUM NUM CUR NUM NUM NUM announced proposal raised payout,16,hel
positive,"A Helsinki : ELIiV today reported EPS of EUR1 .13 for 2009 , an increase over EPS of EUR1 .12 in 2008 .",helsinki eliiv today reported eps CUR NUM NUM NUM increase eps CUR NUM NUM NUM,10,eps
positive,"Aspo Plc STOCK EXCHANGE RELEASE February 11 , 2011 at8 .45 a.m. ESL Shipping Ltd , part of Aspo Group , has signed a new , long-term contract with Rautaruukki Corporation for the marine transport of raw materials on the Baltic Sea .",aspo plc stock exchange release february NUM NUM NUM NUM esl shipping ltd part aspo group signed new longterm contract rautaruukki corporation marine transport raw material baltic sea,24,aspo
positive,"Commission income increased by 22 % to EUR 4.4 mn , and lending volume rose by 13.5 % .",commission income increased NUM_PERCENT CUR NUM mn lending volume rose NUM_PERCENT,82,income
positive,"In January , traffic , measured in revenue passenger kilometres RPK , went up by 3.2 % and capacity , measured in available seat kilometres ASK , rose by 12.2 % .",january traffic measured revenue passenger kilometre rpk went NUM_PERCENT capacity measured available seat kilometre ask rose NUM_PERCENT,19,finnair
positive,"In January-September 2010 , Fiskars ' net profit went up by 14 % year-on-year to EUR 65.4 million and net sales to EUR 525.3 million from EUR 487.7 million .",januaryseptember NUM fiskars net profit went NUM_PERCENT yearonyear CUR NUM million net sale CUR NUM million CUR NUM million,16,hel
positive,"Net income from life insurance rose to EUR 16.5 mn from EUR 14.0 mn , and net income from non-life insurance to EUR 22.6 mn from EUR 15.2 mn in 2009 .",net income life insurance rose CUR NUM mn CUR NUM mn net income nonlife insurance CUR NUM mn CUR NUM mn NUM,82,income
positive,"Nyrstar has also agreed to supply to Talvivaara up to 150,000 tonnes of sulphuric acid per annum for use in Talvivaara 's leaching process during the period of supply of the zinc in concentrate .",nyrstar also agreed supply talvivaara NUM tonne sulphuric acid per annum use talvivaara leaching process period supply zinc concentrate,-1,Outlier
positive,"Sales for both the Department Store Division and Hobby Hall increased by 7 % , while sales for the clothing store subsidiary Seppala decreased by 4 % .",sale department store division hobby hall increased NUM_PERCENT sale clothing store subsidiary seppala decreased NUM_PERCENT,25,decreased
positive,Sales have risen in other export markets .,sale risen export market,-1,Outlier
positive,Sales increased due to growing market rates and increased operations .,sale increased due growing market rate increased operation,-1,Outlier
positive,The agreement strengthens our long-term partnership with Nokia Siemens Networks .,agreement strengthens longterm partnership nokia siemens network,0,nokia
positive,"The agreement was signed with Biohit Healthcare Ltd , the UK-based subsidiary of Biohit Oyj , a Finnish public company which develops , manufactures and markets liquid handling products and diagnostic test systems .",agreement signed biohit healthcare ltd ukbased subsidiary biohit oyj finnish public company develops manufacture market liquid handling product diagnostic test system,47,biohit
positive,The company also estimates the already carried out investments to lead to an increase in its net sales for 2010 from 2009 when they reached EUR 141.7 million .,company also estimate already carried investment lead increase net sale NUM NUM reached CUR NUM million,17,sales
positive,"The company 's order book stood at 1.5 bln euro $ 2.2 bln on September 30 , 2007 , up by 24.2 pct on the year , with international orders amounting to 365 mln euro $ 534.3 mln .",company order book stood NUM bln CUR CUR NUM bln september NUM NUM NUM pct year international order amounting NUM mln CUR CUR NUM mln,33,value
positive,"The company said that paper demand increased in all of its main markets , including of publication papers , and that it increased average paper prices by 4 percent compared with last year .",company said paper demand increased main market including publication paper increased average paper price NUM percent compared last year,6,paper
positive,"The world 's second largest stainless steel maker said net profit in the three-month period until Dec. 31 surged to euro603 million US$ 781 million , or euro3 .33 US$ 4.31 per share , from euro172 million , or euro0 .94 per share , the previous year .",world second largest stainless steel maker said net profit threemonth period dec NUM surged CUR NUM million u CUR NUM million CUR NUM NUM u CUR NUM per share CUR NUM million CUR NUM NUM per share previous year,-1,Outlier
positive,"Within the framework of the partnership , Nokia Siemens Networks has signed an initial framework purchase agreement with Sitronics subsidiary , JSC Mikron , which is the largest manufacturer and exporter of microelectronic components in Russia .",within framework partnership nokia siemens network signed initial framework purchase agreement sitronics subsidiary jsc mikron largest manufacturer exporter microelectronic component russia,0,nokia
positive,"Seppala 's revenue increased by 0.2 % to EUR10 .1 m. In Finland , revenue went down by 2.4 % to EUR6 .8 m , while sales abroad rose by 6.2 % to EUR3 .3 m. Sales increased in all the Baltic countries as well as in Russia and Ukraine .",seppala revenue increased NUM_PERCENT CUR NUM NUM finland revenue went NUM_PERCENT CUR NUM NUM sale abroad rose NUM_PERCENT CUR NUM NUM sale increased baltic country well russia ukraine,86,sales
positive,"Shares of Standard Chartered ( STAN ) rose 1.2 % in the FTSE 100 , while Royal Bank of Scotland ( RBS ) shares rose 2 % and Barclays shares ( BARC ) ( BCS ) were up 1.7 % .",share standard chartered stan rose NUM_PERCENT ftse NUM royal bank scotland rb share rose NUM_PERCENT barclays share barc bcs NUM_PERCENT,-1,Outlier
positive,Shares of Nokia Corp. rose Thursday after the cell phone maker said its third-quarter earnings almost doubled and its share of the global handset market increased .,share nokia corp rose thursday cell phone maker said thirdquarter earnings almost doubled share global handset market increased,71,day
positive,"In its financial report , published on Friday , SEB said its net profit soared to SEK6 .745 bn in 2010 from a year-earlier SEK1 .114 bn and proposed a 50 % dividend increase to SEK1 .50 per share .",financial report published friday seb said net profit soared sek NUM NUM bn NUM yearearlier sek NUM NUM bn proposed NUM_PERCENT dividend increase sek NUM NUM per share,-1,Outlier
positive,Sales for the Department Store Division increased by 15 % and sales for the clothing store subsidiary Seppala increased by 8 % Meanwhile sales for Hobby Hall decreased by 12 % .,sale department store division increased NUM_PERCENT sale clothing store subsidiary seppala increased NUM_PERCENT meanwhile sale hobby hall decreased NUM_PERCENT,25,decreased
neutral,"At the request of Finnish media company Alma Media 's newspapers , research manager Jari Kaivo-oja at the Finland Futures Research Centre at the Turku School of Economics has drawn up a future scenario for Finland 's national economy by using a model developed by the University of Denver .",request finnish medium company alma medium newspaper research manager jari kaivooja finland future research centre turku school economics drawn future scenario finland national economy using model developed university denver,-1,Outlier
neutral,"In Sweden , Gallerix accumulated SEK denominated sales were down 1 % and EUR denominated sales were up 11 % .",sweden gallerix accumulated sek denominated sale NUM_PERCENT CUR denominated sale NUM_PERCENT,86,sales
neutral,The company supports its global customers in developing new technologies and offers a fast route from product development to applications and volume production .,company support global customer developing new technology offer fast route product development application volume production,1,our
neutral,"When this investment is in place , Atria plans to expand into the Moscow market .",investment place atrium plan expand moscow market,12,meat
neutral,"`` The new agreement is a continuation to theagreement signed earlier this year with the Lemminkainen Group , whereby Cramo acquired the entire construction machine fleet ofLemminkainen Talo Oy Ita - ja Pohjois Suomo , and signed asimilar agreement , '' said Tatu Hauhio , managing director ofCramo Finland .",new agreement continuation theagreement signed earlier year lemminkainen group whereby cramo acquired entire construction machine fleet oflemminkainen talo oy ita ja pohjois suomo signed asimilar agreement said tatu hauhio managing director ofcramo finland,84,cramo
positive,"At first the contract envisaged the construction of three ferryboats with an option for two more units , further confirmed at a total value of 500 mln euro ( $ 645.8 mln ) .",first contract envisaged construction three ferryboat option two unit confirmed total value NUM mln CUR CUR NUM mln,42,viking
neutral,"In June it sold a 30 percent stake to Nordstjernan , and the investment group has now taken up the option to acquire EQT 's remaining shares .",june sold NUM percent stake nordstjernan investment group taken option acquire eqt remaining share,-1,Outlier
positive,"KESKO CORPORATION STOCK EXCHANGE RELEASE 28.02.2008 AT 09.30 1 ( 1 ) Kesko Corporation and Aspo plc today signed an agreement by which Aspo acquires the share capital of Kauko-Telko Ltd , a subsidiary wholly owned by Kesko .",kesko corporation stock exchange release NUMNUM NUM NUM NUM kesko corporation aspo plc today signed agreement aspo acquires share capital kaukotelko ltd subsidiary wholly owned kesko,24,aspo
positive,Sponda Plc Stock Exchange Release 5 December 2006 at 15.45 EUR 1.5 BILLION SYNDICATED CREDIT FACILITY FOR SPONDA Sponda has signed an agreement for a one-year syndicated credit facility for a total of EUR 1.5 billion .,sponda plc stock exchange release NUM december NUM NUM CUR NUM billion syndicated credit facility sponda sponda signed agreement oneyear syndicated credit facility total CUR NUM billion,-1,Outlier
neutral,STOCK EXCHANGE ANNOUNCEMENT 20 July 2006 1 ( 1 ) BASWARE SHARE SUBSCRIPTIONS WITH WARRANTS AND INCREASE IN SHARE CAPITAL A total of 119 850 shares have been subscribed with BasWare Warrant Program .,stock exchange announcement NUM july NUM NUM NUM basware share subscription warrant increase share capital total NUM NUM share subscribed basware warrant program,29,basware
positive,"The contract covers HDO platform , AC800 and CXE880 optical Fttb nodes designed to increase the forward and return path capacity of the transmission networks .",contract cover hdo platform ac NUM cxe NUM optical fttb node designed increase forward return path capacity transmission network,83,teleste
neutral,The new plant is planned to have an electricity generation capacity of up to 350 megawatts ( MW ) and the same heat generation capacity .,new plant planned electricity generation capacity NUM megawatt mw heat generation capacity,-1,Outlier
positive,"The OMX Helsinki 25 index was up 0.92 pct at 2,518.67 and the Helsinki CAP portfolio index was 0.91 pct higher at 4,711.19 .",omx helsinki NUM index NUM pct NUM helsinki cap portfolio index NUM pct higher NUM,44,pct
neutral,"- So , the sales growth of cars considerably influence on the tires market '' .",sale growth car considerably influence tire market,46,china
neutral,"A maximum of 666,104 new shares can further be subscribed for by exercising B options under the 2004 stock option plan .",maximum NUM new share subscribed exercising b option NUM stock option plan,38,option
neutral,"As a result of the share issue , the number of the company 's shares increases by 391,630 shares and the share capital by a total of EUR 15,665.20 .",result share issue number company share increase NUM share share capital total CUR NUM,11,shares
neutral,"Finnish real estate investor Sponda Plc said on Wednesday 12 March that it has signed agreements with Danske Bank A-S , Helsinki Branch for a 7-year EUR150m credit facility and with Ilmarinen Mutual Pension Insurance Company for a 7-year EUR50m credit facility .",finnish real estate investor sponda plc said wednesday NUM march signed agreement danske bank helsinki branch NUMyear CUR 150m credit facility ilmarinen mutual pension insurance company NUMyear CUR 50m credit facility,-1,Outlier
neutral,"On the route between Helsinki in Finland and Tallinn in Estonia , cargo volumes increased by 36 % , while cargo volumes between Finland and Sweden fell by 9 % .",route helsinki finland tallinn estonia cargo volume increased NUM_PERCENT cargo volume finland sweden fell NUM_PERCENT,19,finnair
neutral,"Other measures included increasing synergies and economies of scale within the Grimaldi Group and personnel adjustments , divestments and redelivery of excess tonnage .",measure included increasing synergy economy scale within grimaldi group personnel adjustment divestments redelivery excess tonnage,46,china
positive,"Rinkuskiai raised the sales by 18.1 percent , to 1.37 million liters , while the sales of Kauno Alus grew by 14.3 percent , to 960,000 liters .",rinkuskiai raised sale NUM percent NUM million liter sale kauno alus grew NUM percent NUM liter,-1,Outlier
neutral,TELECOMWORLDWIRE-7 April 2006-TJ Group Plc sells stake in Morning Digital Design Oy Finnish IT company TJ Group Plc said on Friday 7 April that it had signed an agreement on selling its shares of Morning Digital Design Oy to Edita Oyj .,telecomworldwireNUM april NUMtj group plc sell stake morning digital design oy finnish company tj group plc said friday NUM april signed agreement selling share morning digital design oy edita oyj,-1,Outlier
positive,TELECOMWORLDWIRE-7 April 2006-TJ Group Plc sells stake in Morning Digital Design Oy Finnish IT company TJ Group Plc said on Friday 7 April that it had signed an agreement on selling its shares of Morning Digital Design Oy to Edita Oyj .,telecomworldwireNUM april NUMtj group plc sell stake morning digital design oy finnish company tj group plc said friday NUM april signed agreement selling share morning digital design oy edita oyj,-1,Outlier
neutral,"The 718,430 new Series A shares will become subject to trading on the Helsinki Stock Exchange 's Main List , together with the old Series A shares , on July 3 , 2006 .",NUM new series share become subject trading helsinki stock exchange main list together old series share july NUM NUM,11,shares
neutral,The fuel purchase contracts have been signed with three months ' delivery from this September to November .,fuel purchase contract signed three month delivery september november,3,end
neutral,Tiimari operates 194 stores in six countries -- including its core Finnish market -- and generated a turnover of 76.5 mln eur in 2005 .,tiimari operates NUM store six country including core finnish market generated turnover NUM mln CUR NUM,-1,Outlier
positive,Under this agreement Biohit becomes a focus supplier of pipettors and disposable pipettor tips to VWR customers throughout Europe .,agreement biohit becomes focus supplier pipettors disposable pipettor tip vwr customer throughout europe,47,biohit
positive,"The combination of all services enabling us to offer a complex and strengthened service chain not only limited to the Baltic port connections but also for getting access to the world wide Grimaldi Network into the Mediterranean , Africa and North America `` says Uwe Bakosch .",combination service enabling u offer complex strengthened service chain limited baltic port connection also getting access world wide grimaldi network mediterranean africa north america say uwe bakosch,-1,Outlier
neutral,No blind-spots coming from 1 vantage point allows investigators to see the whole story in high resolution with no unbroken video .,blindspots coming NUM vantage point allows investigator see whole story high resolution unbroken video,75,altima
positive,"The company still expects its turnover in 2010 to slightly increase from the level of 2009 , adding that `` market predictability is still too poor for trustworthy forecasts on the market development of the contract manufacturing business during the current year '' .",company still expects turnover NUM slightly increase level NUM adding market predictability still poor trustworthy forecast market development contract manufacturing business current year,7,sales
positive,The acquisition will considerably increase Kemira 's sales and market position in the Russian metal industry coatings market .,acquisition considerably increase kemira sale market position russian metal industry coating market,-1,Outlier
positive,"In January-September 2007 , Finnlines ' net sales rose to EUR 505.4 mn from EUR 473.5 mn in the corresponding period in 2006 .",januaryseptember NUM finnlines net sale rose CUR NUM mn CUR NUM mn corresponding period NUM,-1,Outlier
positive,"Adjusted for changes in the Group structure , the Division 's net sales increased by 1.7 % .",adjusted change group structure division net sale increased NUM_PERCENT,7,sales
positive,"`` The change will optimize the operational efficiencies of our growing business , '' said Julia Prohaska , director of marketing communications for Fiskars .",change optimize operational efficiency growing business said julia prohaska director marketing communication fiskars,-1,Outlier
positive,"`` They would invest not only in the physical infrastructure , but would also provide know-how for managing and developing science and technology parks , '' said Sunrise Valley director Andrius Bagdonas .",would invest physical infrastructure would also provide knowhow managing developing science technology park said sunrise valley director andrius bagdonas,4,sq
positive,"4 February 2011 - Finnish broadband data communication systems provider Teleste Oyj HEL : TLT1V saw its net profit jump to EUR2 .1 m for the last quarter of 2010 from EUR995 ,000 for the same period of 2009 .",NUM february NUM finnish broadband data communication system provider teleste oyj hel tlt 1v saw net profit jump CUR NUM NUM last quarter NUM CUR NUM NUM period NUM,16,hel
positive,Finnish Aktia Group 's operating profit rose to EUR 17.5 mn in the first quarter of 2010 from EUR 8.2 mn in the first quarter of 2009 .,finnish aktia group operating profit rose CUR NUM mn first quarter NUM CUR NUM mn first quarter NUM,32,mn
positive,Finnish Bank of +_land 's consolidated net operating profit increased from EUR 4.8 mn in the first quarter of 2005 to EUR 6.4 mn in the first quarter of 2006 .,finnish bank _land consolidated net operating profit increased CUR NUM mn first quarter NUM CUR NUM mn first quarter NUM,-1,Outlier
positive,"Finnish financial group Aktia reports operating profit of EUR 44.4 mn in January-September 2009 , up from EUR 37.3 mn in the corresponding period in 2008 .",finnish financial group aktia report operating profit CUR NUM mn januaryseptember NUM CUR NUM mn corresponding period NUM,32,mn
positive,"Finnish high technology provider Vaahto Group reports net sales of EUR 41.8 mn in the accounting period September 2007 - February 2008 , an increase of 11.2 % from a year earlier .",finnish high technology provider vaahto group report net sale CUR NUM mn accounting period september NUM february NUM increase NUM_PERCENT year earlier,-1,Outlier
positive,Net sales of Finnish food industry company L+Ænnen Tehtaat 's continuing operations increased by 13 % in 2008 to EUR 349.1 mn from EUR 309.6 mn in 2007 .,net sale finnish food industry company lænnen tehtaat continuing operation increased NUM_PERCENT NUM CUR NUM mn CUR NUM mn NUM,12,meat
positive,An individual promotion also generated slightly higher-than-expected revenues .,individual promotion also generated slightly higherthanexpected revenue,-1,Outlier
positive,Biohit already services many current Genesis customers and the customer base is expected to expand as a result of this agreement .,biohit already service many current genesis customer customer base expected expand result agreement,47,biohit
positive,"Both operating profit and turnover for the three-month period increased , respectively from EUR0 .9 m and EUR8 .3 m , as compared to the corresponding period in 2005 .",operating profit turnover threemonth period increased respectively CUR NUM NUM CUR NUM NUM compared corresponding period NUM,53,respectively
positive,Circulation revenue has increased by 5 % in Finland and 4 % in Sweden in 2008 .,circulation revenue increased NUM_PERCENT finland NUM_PERCENT sweden NUM,-1,Outlier
positive,Clothing chain Sepp+Æl+Æ 's net sales increased by 7.0 % to EUR 30.8 mn .,clothing chain seppælæ net sale increased NUM_PERCENT CUR NUM mn,-1,Outlier
positive,Construction volumes meanwhile grow at a rate of 10-15 percent annually .,construction volume meanwhile grow rate NUM NUM percent annually,-1,Outlier
positive,Finnish and Swedish construction markets are still experiencing an estimated 4 % annual growth in 2008 .,finnish swedish construction market still experiencing estimated NUM_PERCENT annual growth NUM,-1,Outlier
positive,"However , Biohit estimates its total net sales will continue to grow in 2009 , and that favourable trends in net sales will lead to a profit in 2009 .",however biohit estimate total net sale continue grow NUM favourable trend net sale lead profit NUM,7,sales
positive,"In 2009 , Fiskars ' cash flow from operating activities amounted to EUR121m , up from EUR97m in the previous year .",NUM fiskars cash flow operating activity amounted CUR 121m CUR 97m previous year,49,cash
positive,"In Lithuania , operating profit rose to EUR 190,000 from EUR 70,000 in the corresponding period in 2005 .",lithuania operating profit rose CUR NUM CUR NUM corresponding period NUM,32,mn
positive,"In the fourth quarter of 2008 , net sales increased by 2 % to EUR 1,050.7 mn from EUR 1,027.0 mn in the fourth quarter of 2007 .",fourth quarter NUM net sale increased NUM_PERCENT CUR NUM mn CUR NUM mn fourth quarter NUM,17,sales
positive,"International sales rose by 59.8 % to EUR 1,244.4 mn .",international sale rose NUM_PERCENT CUR NUM mn,-1,Outlier
neutral,Kalmar Espana generated net sales of some 11.3 mln euro $ 14.8 mln in 2005 .,kalmar espana generated net sale NUM mln CUR CUR NUM mln NUM,109,mln
positive,Net sales grew in the period to  x20ac 402 million $ 585US million from  x20ac 401 million in 2006 .,net sale grew period x 20ac NUM million CUR 585us million x 20ac NUM million NUM,13,million
positive,Net sales increased to EUR655m in April to June 2010 from EUR438m a year earlier .,net sale increased CUR 655m april june NUM CUR 438m year earlier,-1,Outlier
positive,"Net sales rose by 25.5 % year-on-year to EUR59 .6 m , as the number of chargers delivered went up by 41 % to 65.9 million pieces .",net sale rose NUM_PERCENT yearonyear CUR NUM NUM number charger delivered went NUM_PERCENT NUM million piece,17,sales
positive,"Net sales totaled EUR 93.6 mn , up from EUR 93.2 mn in the corresponding period in 2005 .",net sale totaled CUR NUM mn CUR NUM mn corresponding period NUM,17,sales
positive,"Nokia also noted the average selling price of handsets declined during the period , though its mobile phone profit margin rose to more than 22 percent from 13 percent in the year-ago quarter .",nokia also noted average selling price handset declined period though mobile phone profit margin rose NUM percent NUM percent yearago quarter,0,nokia
positive,Operating profit increased by 145.1 % to EUR 8.3 mn from EUR 3.4 mn .,operating profit increased NUM_PERCENT CUR NUM mn CUR NUM mn,32,mn
positive,Operating profit margin increased from 11.2 % to 11.7 % .,operating profit margin increased NUM_PERCENT NUM_PERCENT,43,margin
positive,Operating profit rose to EUR 3.11 mn from EUR 1.22 mn in the corresponding period in 2009 .,operating profit rose CUR NUM mn CUR NUM mn corresponding period NUM,32,mn
